id,sheep.yr,age,surv,wt,wtt1,rec,rec1.wt,rec2.wt,mean.off.mass,pop.size
5,1986,NA,1,NA,NA,0,NA,NA,NA,211
5,1987,NA,0,NA,NA,0,NA,NA,NA,331
6,1986,NA,0,NA,NA,0,NA,NA,NA,211
12,1986,NA,1,NA,20.8,1,14.3,NA,14.3,211
12,1987,NA,0,20.8,NA,0,NA,NA,NA,331
13,1986,NA,1,NA,23,0,NA,NA,NA,211
13,1987,NA,1,23,NA,0,NA,NA,NA,331
13,1988,NA,0,NA,NA,0,NA,NA,NA,457
14,1986,NA,1,NA,28,0,NA,NA,NA,211
14,1987,NA,1,28,NA,0,NA,NA,NA,331
14,1988,NA,0,NA,NA,0,NA,NA,NA,457
19,1986,NA,1,NA,27.5,0,NA,NA,NA,211
19,1987,NA,1,27.5,26,0,NA,NA,NA,331
19,1988,NA,0,26,NA,0,NA,NA,NA,457
22,1986,NA,1,NA,NA,0,NA,NA,NA,211
22,1987,NA,1,NA,24.8,2,NA,NA,NA,331
22,1988,NA,0,24.8,NA,0,NA,NA,NA,457
23,1986,NA,1,NA,NA,0,NA,NA,NA,211
23,1987,NA,1,NA,NA,1,NA,NA,NA,331
23,1988,NA,0,NA,NA,0,NA,NA,NA,457
25,1989,NA,0,25.2,NA,0,NA,NA,NA,211
27,1986,NA,1,NA,NA,1,NA,NA,NA,211
27,1987,NA,1,NA,NA,0,NA,NA,NA,331
27,1988,NA,1,NA,NA,1,NA,NA,NA,457
27,1989,NA,1,NA,NA,0,NA,NA,NA,211
27,1990,NA,1,NA,NA,1,NA,NA,NA,290
27,1991,NA,0,NA,NA,0,NA,NA,NA,414
28,1987,NA,1,NA,NA,0,NA,NA,NA,331
28,1988,NA,1,NA,NA,0,NA,NA,NA,457
28,1989,NA,1,NA,NA,0,NA,NA,NA,211
28,1990,NA,1,NA,NA,0,NA,NA,NA,290
28,1991,NA,0,NA,NA,0,NA,NA,NA,414
29,1986,NA,1,NA,NA,0,NA,NA,NA,211
29,1987,NA,1,NA,25.6,0,NA,NA,NA,331
29,1988,NA,1,25.6,NA,0,NA,NA,NA,457
29,1989,NA,1,NA,24.5,1,14.1,NA,14.1,211
29,1990,NA,0,24.5,22.9,0,NA,NA,NA,290
31,1991,NA,1,27.7,25.1,0,NA,NA,NA,414
31,1992,NA,1,25.1,NA,0,NA,NA,NA,321
31,1993,NA,0,NA,NA,0,NA,NA,NA,443
32,1991,NA,1,25,NA,1,NA,NA,NA,414
32,1992,NA,1,NA,27.1,0,NA,NA,NA,321
32,1993,NA,1,27.1,25.7,0,NA,NA,NA,443
32,1994,NA,0,25.7,NA,0,NA,NA,NA,435
33,1991,NA,1,21.8,24.2,0,NA,NA,NA,414
33,1992,NA,1,24.2,NA,0,NA,NA,NA,321
33,1993,NA,1,NA,NA,0,NA,NA,NA,443
33,1994,NA,0,NA,NA,0,NA,NA,NA,435
34,1992,NA,1,NA,NA,0,NA,NA,NA,321
34,1993,NA,1,NA,NA,1,NA,NA,NA,443
34,1994,NA,1,NA,NA,0,NA,NA,NA,435
34,1995,NA,1,NA,21.2,0,NA,NA,NA,357
34,1996,NA,1,21.2,NA,0,NA,NA,NA,575
35,1992,NA,1,NA,NA,1,NA,NA,NA,321
35,1993,NA,1,NA,NA,0,NA,NA,NA,443
35,1994,NA,0,NA,NA,0,NA,NA,NA,435
36,1986,NA,1,22.5,23.8,1,16,NA,16,211
36,1987,NA,1,23.8,NA,1,NA,NA,NA,331
36,1988,NA,1,NA,NA,0,NA,NA,NA,457
36,1989,NA,1,NA,NA,1,16,NA,16,211
36,1990,NA,1,NA,23.6,1,15.4,NA,15.4,290
36,1991,NA,1,23.6,20.5,0,NA,NA,NA,414
36,1992,NA,1,20.5,NA,1,NA,NA,NA,321
36,1993,NA,0,NA,NA,0,NA,NA,NA,443
39,1994,NA,0,24.8,NA,0,NA,NA,NA,435
44,1992,NA,1,NA,NA,0,NA,NA,NA,321
44,1993,NA,1,NA,23,1,10,NA,10,443
44,1994,NA,1,23,22.3,1,12.1,NA,12.1,435
44,1995,NA,1,22.3,NA,1,NA,NA,NA,357
44,1996,NA,1,NA,NA,0,NA,NA,NA,575
48,1995,NA,1,NA,NA,0,NA,NA,NA,357
48,1996,NA,1,NA,NA,0,NA,NA,NA,575
49,1995,NA,1,NA,NA,0,NA,NA,NA,357
49,1996,NA,0,NA,NA,0,NA,NA,NA,575
50,1995,NA,1,27.3,NA,0,NA,NA,NA,357
50,1996,NA,1,NA,NA,1,NA,NA,NA,575
51,1996,NA,1,22.9,NA,1,NA,NA,NA,575
52,1996,NA,1,23.4,NA,0,NA,NA,NA,575
53,1996,NA,1,22.2,NA,0,NA,NA,NA,575
54,1996,NA,1,22.7,NA,1,7.2,NA,7.2,575
56,1996,NA,1,24.2,NA,1,NA,NA,NA,575
57,1996,NA,1,23.1,NA,1,NA,NA,NA,575
135,1986,11,NA,NA,NA,0,NA,NA,NA,211
135,1987,12,NA,NA,NA,0,NA,NA,NA,331
135,1988,13,0,NA,NA,0,NA,NA,NA,457
187,1986,11,NA,NA,NA,0,NA,NA,NA,211
187,1987,12,NA,NA,NA,0,NA,NA,NA,331
187,1988,13,0,NA,NA,0,NA,NA,NA,457
205,1986,10,1,NA,26.5,0,NA,NA,NA,211
205,1987,11,1,26.5,27.2,2,9.5,11.8,10.65,331
205,1988,12,0,27.2,NA,0,NA,NA,NA,457
303,1986,9,1,NA,26,0,NA,NA,NA,211
303,1987,10,1,26,26,0,NA,NA,NA,331
303,1988,11,0,26,NA,0,NA,NA,NA,457
341,1986,9,NA,NA,NA,0,NA,NA,NA,211
341,1987,10,NA,NA,NA,0,NA,NA,NA,331
341,1988,11,NA,NA,NA,0,NA,NA,NA,457
341,1989,12,1,NA,NA,0,NA,NA,NA,211
341,1990,13,1,NA,NA,0,NA,NA,NA,290
341,1991,14,1,NA,NA,0,NA,NA,NA,414
341,1992,15,0,NA,NA,0,NA,NA,NA,321
414,1986,8,1,26.7,NA,0,NA,NA,NA,211
